link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,agent_type_code,geometry
,['South Dromedary Drive'  'West Palmcroft Drive'  'West Palmdale Drive'],4,1190,,1,1,0.19532852,1,60,1800,,"LINESTRING (-111.941984 33.406618 ,-111.941369 33.405868 )"
,['South Dromedary Drive'  'West Palmcroft Drive'  'West Palmdale Drive'],1190,4,,1,1,0.19532852,1,60,1800,,"LINESTRING (-111.941369 33.405868 ,-111.941984 33.406618 )"
,['South Dateland Drive'  'West Palmdale Drive'],4,1190,,1,1,0.089608162,1,60,1800,,"LINESTRING (-111.941984 33.406618 ,-111.941369 33.405868 )"
,['South Dateland Drive'  'West Palmdale Drive'],1190,4,,1,1,0.089608162,1,60,1800,,"LINESTRING (-111.941369 33.405868 ,-111.941984 33.406618 )"
,South Dateland Drive,4,4189,,1,1,0.053835734,1,60,1800,,"LINESTRING (-111.941984 33.406618 ,-111.941978 33.407397 )"
,South Dateland Drive,4189,4,,1,1,0.053835734,1,60,1800,,"LINESTRING (-111.941978 33.407397 ,-111.941984 33.406618 )"
,South Maple Avenue,14,15,,1,1,0.100407621,1,60,1800,,"LINESTRING (-111.941261 33.421930 ,-111.941239 33.420477 )"
,South Maple Avenue,15,14,,1,1,0.100407621,1,60,1800,,"LINESTRING (-111.941239 33.420478 ,-111.941261 33.421931 )"
,West University Drive,14,3869,,1,1,0.065113649,1,60,1800,,"LINESTRING (-111.941261 33.421931 ,-111.942390 33.421928 )"
,West University Drive,3869,14,,1,1,0.065113649,1,60,1800,,"LINESTRING (-111.942390 33.421928 ,-111.941261 33.421930 )"
,West University Drive,14,4096,,1,1,0.068090024,1,60,1800,,"LINESTRING (-111.941261 33.421930 ,-111.940080 33.421929 )"
,West University Drive,4096,14,,1,1,0.068090024,1,60,1800,,"LINESTRING (-111.940080 33.421929 ,-111.941261 33.421931 )"
,South Maple Avenue,15,17,,1,1,0.098537289,1,60,1800,,"LINESTRING (-111.941239 33.420477 ,-111.941238 33.419052 )"
,South Maple Avenue,17,15,,1,1,0.098537289,1,60,1800,,"LINESTRING (-111.941237 33.419052 ,-111.941239 33.420478 )"
